#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BcastDVRUserService_1249c0d6","System.ServiceProcess.ServiceController[]","False","False","False","GameDVR and Broadcast User Service_1249c0d6","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_1249c0d6","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine","System.ServiceProcess.ServiceController[]",".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BITS","System.ServiceProcess.ServiceController[]","False","False","False","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BluetoothUserService_1249c0d6","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth User Support Service_1249c0d6","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_1249c0d6","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service","System.ServiceProcess.ServiceController[]",".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"Browser","System.ServiceProcess.ServiceController[]","False","False","True","Computer Browser","System.ServiceProcess.ServiceController[]",".","Browser","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","False","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"camsvc","System.ServiceProcess.ServiceController[]","False","True","True","Capability Access Manager Service","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"CaptureService_1249c0d6","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_1249c0d6","System.ServiceProcess.ServiceController[]",".","CaptureService_1249c0d6","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"cbVSCService11","System.ServiceProcess.ServiceController[]","False","True","True","Cobian Backup 11 Volume Shadow Copy Requester","System.ServiceProcess.ServiceController[]",".","cbVSCService11","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform Service","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CDPUserSvc_1249c0d6","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform User Service_1249c0d6","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_1249c0d6","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Automatic",,
"CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Certificate Propagation","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"ClickToRunSvc","System.ServiceProcess.ServiceController[]","False","True","True","Microsoft Office Click-to-Run Service","System.ServiceProcess.ServiceController[]",".","ClickToRunSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"ClipSVC","System.ServiceProcess.ServiceController[]","False","False","False","Client License Service (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"CobianBackup11","System.ServiceProcess.ServiceController[]","False","True","True","Cobian Backup 11 Gravity","System.ServiceProcess.ServiceController[]",".","CobianBackup11","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"cphs","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HECI Service","System.ServiceProcess.ServiceController[]",".","cphs","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"cplspcon","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HDCP Service","System.ServiceProcess.ServiceController[]",".","cplspcon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Credential Vault Host Control Service","System.ServiceProcess.ServiceController[]","True","True","True","Credential Vault Host Control Service","System.ServiceProcess.ServiceController[]",".","Credential Vault Host Control Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Credential Vault Host Storage","System.ServiceProcess.ServiceController[]","True","True","True","Credential Vault Host Storage","System.ServiceProcess.ServiceController[]",".","Credential Vault Host Storage","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"dbupdate","System.ServiceProcess.ServiceController[]","False","False","False","Dropbox Update Service (dbupdate)","System.ServiceProcess.ServiceController[]",".","dbupdate","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"dbupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Dropbox Update Service (dbupdatem)","System.ServiceProcess.ServiceController[]",".","dbupdatem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DbxSvc","System.ServiceProcess.ServiceController[]","False","False","True","DbxSvc","System.ServiceProcess.ServiceController[]",".","DbxSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher","System.ServiceProcess.ServiceController[]",".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DellRctlService","System.ServiceProcess.ServiceController[]","False","True","True","DellRctlService","System.ServiceProcess.ServiceController[]",".","DellRctlService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DevicePickerUserSvc_1249c0d6","System.ServiceProcess.ServiceController[]","False","False","False","DevicePicker_1249c0d6","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_1249c0d6","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DevicesFlowUserSvc_1249c0d6","System.ServiceProcess.ServiceController[]","False","False","False","DevicesFlow_1249c0d6","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_1249c0d6","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DevQueryBroker","System.ServiceProcess.ServiceController[]","False","False","False","DevQuery Background Discovery Broker","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","DHCP Client","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft (R) Diagnostics Hub Standard Collector Service","System.ServiceProcess.ServiceController[]",".","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"diagsvc","System.ServiceProcess.ServiceController[]","False","False","False","Diagnostic Execution Service","System.ServiceProcess.ServiceController[]",".","diagsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Connected User Experiences and Telemetry","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Management Enrollment Service","System.ServiceProcess.ServiceController[]",".","DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"dmwappushservice","System.ServiceProcess.ServiceController[]","False","False","False","dmwappushsvc","System.ServiceProcess.ServiceController[]",".","dmwappushservice","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Dnscache","System.ServiceProcess.ServiceController[]","False","False","False","DNS Client","System.ServiceProcess.ServiceController[]",".","Dnscache","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DoSvc","System.ServiceProcess.ServiceController[]","False","False","True","Delivery Optimization","System.ServiceProcess.ServiceController[]",".","DoSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"dot3svc","System.ServiceProcess.ServiceController[]","False","False","False","Wired AutoConfig","System.ServiceProcess.ServiceController[]",".","dot3svc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DPS","System.ServiceProcess.ServiceController[]","False","True","True","Diagnostic Policy Service","System.ServiceProcess.ServiceController[]",".","DPS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DsmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Setup Manager","System.ServiceProcess.ServiceController[]",".","DsmSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"DsSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Sharing Service","System.ServiceProcess.ServiceController[]",".","DsSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DusmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Usage","System.ServiceProcess.ServiceController[]",".","DusmSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Eaphost","System.ServiceProcess.ServiceController[]","False","False","False","Extensible Authentication Protocol","System.ServiceProcess.ServiceController[]",".","Eaphost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EFS","System.ServiceProcess.ServiceController[]","False","False","False","Encrypting File System (EFS)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"ekrn","System.ServiceProcess.ServiceController[]","False","True","False","ESET Service","System.ServiceProcess.ServiceController[]",".","ekrn","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"ekrnEpfw","System.ServiceProcess.ServiceController[]","False","True","False","ESET Firewall Helper","System.ServiceProcess.ServiceController[]",".","ekrnEpfw","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"embeddedmode","System.ServiceProcess.ServiceController[]","False","False","False","Embedded Mode","System.ServiceProcess.ServiceController[]",".","embeddedmode","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EntAppSvc","System.ServiceProcess.ServiceController[]","False","False","False","Enterprise App Management Service","System.ServiceProcess.ServiceController[]",".","EntAppSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"esifsvc","System.ServiceProcess.ServiceController[]","True","True","True","ESIF Upper Framework Service","System.ServiceProcess.ServiceController[]",".","esifsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"EventLog","System.ServiceProcess.ServiceController[]","False","True","True","Windows Event Log","System.ServiceProcess.ServiceController[]",".","EventLog","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"EventSystem","System.ServiceProcess.ServiceController[]","False","False","True","COM+ Event System","System.ServiceProcess.ServiceController[]",".","EventSystem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"EvtEng","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) PROSet/Wireless Event Log","System.ServiceProcess.ServiceController[]",".","EvtEng","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Fax","System.ServiceProcess.ServiceController[]","False","False","False","Fax","System.ServiceProcess.ServiceController[]",".","Fax","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"fdPHost","System.ServiceProcess.ServiceController[]","False","False","True","Function Discovery Provider Host","System.ServiceProcess.ServiceController[]",".","fdPHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"FDResPub","System.ServiceProcess.ServiceController[]","False","False","False","Function Discovery Resource Publication","System.ServiceProcess.ServiceController[]",".","FDResPub","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"fhsvc","System.ServiceProcess.ServiceController[]","False","False","False","File History Service","System.ServiceProcess.ServiceController[]",".","fhsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"FontCache","System.ServiceProcess.ServiceController[]","False","True","True","Windows Font Cache Service","System.ServiceProcess.ServiceController[]",".","FontCache","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","False","True","True","Windows Presentation Foundation Font Cache 3.0.0.0","System.ServiceProcess.ServiceController[]",".","FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"FrameServer","System.ServiceProcess.ServiceController[]","False","False","False","Windows Camera Frame Server","System.ServiceProcess.ServiceController[]",".","FrameServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"gpsvc","System.ServiceProcess.ServiceController[]","False","False","False","Group Policy Client","System.ServiceProcess.ServiceController[]",".","gpsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Automatic",,
"GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","False","False","False","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]",".","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"gupdate","System.ServiceProcess.ServiceController[]","False","False","False","Google Update Service (gupdate)","System.ServiceProcess.ServiceController[]",".","gupdate","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"gupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Google Update Service (gupdatem)","System.ServiceProcess.ServiceController[]",".","gupdatem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"hidserv","System.ServiceProcess.ServiceController[]","False","True","True","Human Interface Device Service","System.ServiceProcess.ServiceController[]",".","hidserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"hostcontrolsvc","System.ServiceProcess.ServiceController[]","True","True","True","Credential Vault Host Control Service","System.ServiceProcess.ServiceController[]",".","hostcontrolsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"hoststoragesvc","System.ServiceProcess.ServiceController[]","True","True","True","Credential Vault Host Storage","System.ServiceProcess.ServiceController[]",".","hoststoragesvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"HvHost","System.ServiceProcess.ServiceController[]","False","False","False","HV Host Service","System.ServiceProcess.ServiceController[]",".","HvHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"IAStorDataMgrSvc","System.ServiceProcess.ServiceController[]","False","True","True","Intel(R) Rapid Storage Technology","System.ServiceProcess.ServiceController[]",".","IAStorDataMgrSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"ibtsiva","System.ServiceProcess.ServiceController[]","False","True","True","Intel Bluetooth Service","System.ServiceProcess.ServiceController[]",".","ibtsiva","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"icssvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Mobile Hotspot Service","System.ServiceProcess.ServiceController[]",".","icssvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"igfxCUIService2.0.0.0","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) HD Graphics Control Panel Service","System.ServiceProcess.ServiceController[]",".","igfxCUIService2.0.0.0","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"IKEEXT","System.ServiceProcess.ServiceController[]","False","True","True","IKE and AuthIP IPsec Keying Modules","System.ServiceProcess.ServiceController[]",".","IKEEXT","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"InstallService","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Store Install Service","System.ServiceProcess.ServiceController[]",".","InstallService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"Intel(R) Capability Licensing Service TCP IP Interface","System.ServiceProcess.ServiceController[]","False","False","False","Intel(R) Capability Licensing Service TCP IP Interface","System.ServiceProcess.ServiceController[]",".","Intel(R) Capability Licensing Service TCP IP Interface","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"Intel(R) Security Assist","System.ServiceProcess.ServiceController[]","False","True","True","Intel(R) Security Assist","System.ServiceProcess.ServiceController[]",".","Intel(R) Security Assist","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"iphlpsvc","System.ServiceProcess.ServiceController[]","False","False","True","IP Helper","System.ServiceProcess.ServiceController[]",".","iphlpsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","False","False","False","IP Translation Configuration Service","System.ServiceProcess.ServiceController[]",".","IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"irmon","System.ServiceProcess.ServiceController[]","False","False","False","Infrared monitor service","System.ServiceProcess.ServiceController[]",".","irmon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"isaHelperSvc","System.ServiceProcess.ServiceController[]","False","False","False","Intel(R) Security Assist Helper","System.ServiceProcess.ServiceController[]",".","isaHelperSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"jhi_service","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Dynamic Application Loader Host Interface Service","System.ServiceProcess.ServiceController[]",".","jhi_service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"KeyIso","System.ServiceProcess.ServiceController[]","False","False","True","CNG Key Isolation","System.ServiceProcess.ServiceController[]",".","KeyIso","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"KtmRm","System.ServiceProcess.ServiceController[]","False","False","False","KtmRm for Distributed Transaction Coordinator","System.ServiceProcess.ServiceController[]",".","KtmRm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"LanmanServer","System.ServiceProcess.ServiceController[]","False","False","True","Server","System.ServiceProcess.ServiceController[]",".","LanmanServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LanmanWorkstation","System.ServiceProcess.ServiceController[]","True","False","True","Workstation","System.ServiceProcess.ServiceController[]",".","LanmanWorkstation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"lfsvc","System.ServiceProcess.ServiceController[]","False","False","True","Geolocation Service","System.ServiceProcess.ServiceController[]",".","lfsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LicenseManager","System.ServiceProcess.ServiceController[]","False","False","True","Windows License Manager Service","System.ServiceProcess.ServiceController[]",".","LicenseManager","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
